FILE,SIFIS PLAIN,SIFIS QUANTIZED,CRAP,SKUNK,IGNORED
display.rs,20.883,0.870,24.320,7.890,false
token_text.rs,18.976,0.422,78.704,45.957,false
parsing.rs,12.250,0.942,13.001,1.040,false
syntax_node.rs,8.189,0.585,14.135,4.941,false
block.rs,3.429,0.429,10.915,11.429,false
lib.rs,14.811,0.260,990.199,150.433,false
ptr.rs,16.964,0.530,44.148,29.193,false
utils.rs,1.189,0.297,6.543,8.667,false
validation.rs,51.583,0.482,589.582,148.952,false
reparsing.rs,19.333,0.372,936.463,143.314,false
fuzz.rs,0.000,0.000,272.000,64.000,false
sourcegen_ast.rs,0.000,0.000,35910.000,756.000,false
ast_src.rs,0.000,0.000,2.000,4.000,false
syntax_error.rs,6.375,0.708,9.000,0.360,false
ast.rs,3.668,0.118,697.539,109.763,false
expr_ext.rs,74.846,0.638,292.756,110.913,false
traits.rs,17.386,0.511,39.352,22.667,false
node_ext.rs,196.455,0.604,450.660,137.748,false
make.rs,193.352,0.879,245.723,71.281,false
edit.rs,32.437,0.662,73.421,42.467,false
nodes.rs,908.157,0.375,344406.508,3882.066,false
tokens.rs,23.393,0.366,188.029,79.792,false
