FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"visit_seq (91, 102)",2.400,1.200,2.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_seq (91,102)"
"visit_map (105, 132)",9.692,1.077,9.000,0.000,false,false,"/Value (22,137)/deserialize (24,136)/ValueVisitor (30,133)/visit_map (105,132)"
de.rs,251.952,0.569,895.172,233.017,false,true,src/de.rs
"from_trait (2406, 2417)",1.000,1.000,1.000,0.000,false,false,"/from_trait (2406,2417)"
"from_reader (2524, 2530)",1.000,1.000,1.000,0.000,false,false,"/from_reader (2524,2530)"
"from_slice (2567, 2572)",1.000,1.000,1.000,0.000,false,false,"/from_slice (2567,2572)"
"from_str (2609, 2614)",1.000,1.000,1.000,0.000,false,false,"/from_str (2609,2614)"
"next (2350, 2394)",9.081,0.757,12.131,4.645,false,false,"/StreamDeserializer<'de, R, T> (2343,2395)/next (2350,2394)"
"<anonymous> (2380, 2380)",1.000,1.000,1.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2343,2395)/next (2350,2394)/<anonymous> (2380,2380)"
"new (2281, 2290)",0.000,0.000,2.000,4.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/new (2281,2290)"
"byte_offset (2323, 2325)",1.000,1.000,1.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/byte_offset (2323,2325)"
"peek_end_of_value (2327, 2340)",2.143,0.714,3.000,0.000,false,false,"/StreamDeserializer<'de, R, T> (2268,2341)/peek_end_of_value (2327,2340)"
"deserialize_any (2151, 2161)",2.727,0.909,3.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_any (2151,2161)"
"deserialize_option (2178, 2184)",0.000,0.000,2.000,4.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_option (2178,2184)"
"deserialize_newtype_struct (2187, 2200)",2.154,1.077,2.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_newtype_struct (2187,2200)"
"deserialize_enum (2203, 2213)",1.000,1.000,1.000,0.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_enum (2203,2213)"
"deserialize_bytes (2216, 2221)",0.000,0.000,2.000,4.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_bytes (2216,2221)"
"deserialize_byte_buf (2224, 2229)",0.000,0.000,2.000,4.000,false,false,"/MapKey<'a, R> (2144,2235)/deserialize_byte_buf (2224,2229)"
"unit_variant (2085, 2087)",1.000,1.000,1.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/unit_variant (2085,2087)"
"newtype_variant_seed (2089, 2097)",1.000,1.000,1.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/newtype_variant_seed (2089,2097)"
"tuple_variant (2099, 2107)",1.000,1.000,1.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/tuple_variant (2099,2107)"
"struct_variant (2109, 2117)",0.000,0.000,2.000,4.000,false,false,"/UnitVariantAccess<'a, R> (2082,2118)/struct_variant (2109,2117)"
"variant_seed (2073, 2079)",1.000,1.000,1.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2069,2080)/variant_seed (2073,2079)"
"new (2064, 2066)",1.000,1.000,1.000,0.000,false,false,"/UnitVariantAccess<'a, R> (2063,2067)/new (2064,2066)"
"unit_variant (2033, 2035)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/unit_variant (2033,2035)"
"newtype_variant_seed (2037, 2042)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/newtype_variant_seed (2037,2042)"
"tuple_variant (2044, 2049)",1.000,1.000,1.000,0.000,false,false,"/VariantAccess<'a, R> (2030,2057)/tuple_variant (2044,2049)"
