FILE,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FILE PATH
../serde/test_suite/tests/ui/type-attribute/into.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/type-attribute/try_from.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unexpected-literal/container.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unexpected-literal/field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unexpected-literal/variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unknown-attribute/container.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unknown-attribute/field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unknown-attribute/variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unsupported/union_de.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/unsupported/union_ser.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_de_newtype_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_de_struct_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_de_tuple_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_de_whole_variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_newtype_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_newtype_field_if.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_struct_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_struct_field_if.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_tuple_field.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_tuple_field_if.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/ui/with-variant/skip_ser_whole_variant.rs,0.000,0.000,0.000,0.000,true,-,-
../serde/test_suite/tests/unstable/mod.rs,0.000,0.000,0.000,0.000,true,-,-
TOTAL FILES IGNORED,126,,,,,,
