FUNCTION,WCC PLAIN,WCC QUANTIZED,CRAP,SKUNK,IGNORED,IS COMPLEX,FUNCTION PATH
"parse_str_bytes (434, 482)",6.800,0.756,9.002,1.029,false,false,"/SliceRead<'a> (404,483)/parse_str_bytes (434,482)"
"next (250, 275)",6.462,0.808,8.006,1.455,false,false,"/IoRead<R> (245,400)/next (250,275)"
"peek (278, 290)",2.308,0.769,3.000,0.000,false,false,"/IoRead<R> (245,400)/peek (278,290)"
"discard (294, 296)",0.000,1.000,0.000,0.000,false,false,"/IoRead<R> (245,400)/discard (294,296)"
"discard (299, 305)",0.000,0.000,12.000,12.000,false,false,"/IoRead<R> (245,400)/discard (299,305)"
"position (307, 312)",0.000,1.000,0.000,0.000,false,false,"/IoRead<R> (245,400)/position (307,312)"
"peek_position (314, 318)",0.000,1.667,0.000,0.000,false,true,"/IoRead<R> (245,400)/peek_position (314,318)"
"byte_offset (320, 325)",0.833,0.833,1.000,0.000,false,false,"/IoRead<R> (245,400)/byte_offset (320,325)"
"parse_str (327, 330)",0.000,1.000,0.000,0.000,false,false,"/IoRead<R> (245,400)/parse_str (327,330)"
"parse_str_raw (332, 338)",0.000,0.000,0.000,0.000,false,false,"/IoRead<R> (245,400)/parse_str_raw (332,338)"
"ignore_str (340, 358)",0.000,0.000,6.000,8.000,false,false,"/IoRead<R> (245,400)/ignore_str (340,358)"
"decode_hex_escape (360, 371)",0.000,0.000,12.000,12.000,false,false,"/IoRead<R> (245,400)/decode_hex_escape (360,371)"
"begin_raw_buffering (374, 376)",0.000,0.000,0.000,0.000,false,false,"/IoRead<R> (245,400)/begin_raw_buffering (374,376)"
